housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
28,2360,607,2623,592,2.5048,100000
15,3393,653,2039,611,3.9336,151000
15,4420,903,2373,858,3.449,149100
9,2107,411,1138,389,4.4042,159100
16,1538,260,835,259,5.5779,234800
15,4713,671,2197,673,7.5426,294800
15,3485,519,1740,485,6.7543,251900
16,3388,425,1395,427,8.4471,351300
15,2708,410,1140,389,6.2899,275000
15,5736,800,2529,762,6.4114,278700
13,2319,430,1004,380,5.133,316100
8,2649,340,1238,354,8.0409,337900
2,2411,354,703,217,7.8061,331400
7,6814,785,2175,681,10.49,500001
16,2223,454,628,382,4.3603,248800
6,1638,188,572,174,13.0502,500001
10,3484,582,1469,556,5.4188,402200
15,7468,1275,3033,1217,5.49,239300
25,2174,428,603,352,3.3967,249400
17,2737,654,910,492,3.5729,370800
33,2579,564,1155,431,2.0441,42100
11,5897,1138,2728,1072,4.15,85700
5,5735,932,2623,862,4.8494,87200
14,1740,391,850,317,2.5812,91700
25,3430,485,1284,438,8.5282,360100
20,2524,311,965,285,8.0103,395500
8,1692,253,857,251,6.9418,310500
11,3628,469,1488,463,7.0844,325000
19,3995,554,1523,509,6.075,254100
17,3229,405,1289,407,6.3842,307100
22,2272,278,933,305,8.8204,390500
37,1971,345,939,358,3.4634,145300
26,1855,553,1109,536,2.2429,150000
26,1151,200,593,188,3.6667,166300
23,1426,313,954,319,3.0357,151500
20,2462,496,1117,458,3.2321,162500
33,3659,590,1773,615,3.9227,157200
37,2454,511,1165,504,2.9474,139600
36,2072,408,964,395,2.8702,137000
33,2081,409,1008,375,2.587,138100
24,4043,952,2174,859,2.2244,114900
6,5129,1119,2533,949,3.625,113600
36,2341,520,2138,523,2.3347,104000
33,960,216,831,222,2.5391,108600
16,2081,348,1332,356,4.7872,147600
10,3657,695,2079,663,4.2054,159900
14,2137,345,1151,352,5.753,185500
12,5616,871,3019,782,5.5425,202300
11,3358,504,1690,482,6.7544,207900
5,1387,236,855,270,5.411,201100
13,8527,1364,4597,1393,6.2242,237900
17,3173,501,1555,520,6.7079,250800
16,3299,610,1967,604,5.5085,223300
16,5175,799,2717,813,6.1493,257800
16,4065,661,1962,636,6.2177,256600
21,1932,266,860,286,7.1497,274000
25,3745,522,1648,496,7.5488,278100
24,1684,232,781,230,6.8667,279600
18,4552,706,1918,671,7.5791,288100
6,4186,515,1794,541,9.6986,357600
16,3016,394,1172,382,7.5196,315600
16,4277,565,1642,549,8.0082,286600
16,2483,443,1357,400,5.5545,214200
18,2626,530,1302,522,4.0167,189600
22,809,180,334,157,2.3846,500001
28,1261,233,609,242,5.1024,312700
26,2073,370,952,340,5.0877,288100
18,2737,589,1128,533,2.8,72000
6,2115,342,927,337,6.1935,115700
32,3661,787,1613,706,3.0687,63500
10,2846,362,1221,355,7.7234,304100
15,3162,495,1145,473,5.3525,191700
28,1263,248,601,219,3.875,174000
19,2969,605,1326,573,4.3438,155700
17,4418,1256,2417,1094,2.7266,101000
29,1840,388,1278,368,3.5036,123400
26,1592,429,1182,365,2.4583,110400
6,2833,628,1717,589,3.2062,167500
16,3260,501,1973,535,4.6563,162000
13,2295,374,1284,378,5.2551,194300
13,1543,383,776,358,3.0598,99700
5,10534,2035,4656,1863,5.7797,309200
4,10175,2181,4762,1929,4.7341,237400
9,5774,1320,3086,1265,4.4063,202200
24,3859,661,1972,624,5.7871,227400
23,3588,577,1695,569,6.1401,243200
25,3164,449,1517,453,6.7921,266000
20,1213,171,565,170,7.2592,314800
18,1614,210,692,209,7.9294,280300
4,3289,728,1345,632,4.6863,184400
6,3157,721,1695,710,3.7609,222300
16,2102,350,1003,328,4.7981,170800
15,2423,435,1366,423,4.8906,181800
19,1258,246,545,227,2.9762,184400
18,1645,393,1490,355,3.4792,126400
15,2782,579,983,525,2.1935,183300
10,366,61,128,61,8.163,250000
22,2728,616,1081,566,1.6393,500001
24,3571,722,1409,543,4.6518,277800
18,1679,271,783,257,5.3999,300000
25,2994,519,903,410,6.6852,500001
15,3253,573,1408,586,5.2043,95700
9,3811,605,1518,568,5.5551,142500
28,2969,648,1644,570,3.4338,54900
33,1589,307,853,272,4.2292,64400
4,4082,578,1996,580,6.7813,286300
24,1033,189,486,204,4.1719,213500
4,4791,695,1871,659,6.9532,277000
16,2181,321,1133,350,5.7214,259400
16,3190,471,1414,464,5.5292,208600
11,7392,1796,3841,1621,2.8326,163000
22,1547,334,773,316,2.9812,148800
28,2459,492,1230,498,3.0978,137200
21,5662,1185,3067,1055,3.3482,137300
32,1775,314,1067,302,4.0375,121300
24,2626,692,2204,647,1.7806,135000
25,1859,463,1070,374,2.5395,187500
27,574,103,321,103,3.9107,186500
16,2859,668,1946,591,3.0396,124300
20,7326,1555,5718,1538,3.2073,123500
16,5218,1187,2701,1125,3.929,143100
13,5830,921,2897,891,6.2403,257400
19,2962,405,1295,440,6.0689,248000
24,1956,262,969,256,6.8154,265900
19,3913,460,1646,454,7.2147,303900
8,2327,263,899,236,14.9009,500001
12,3473,466,1569,450,8.8636,314000
2,10008,1453,3550,1139,10.1122,500001
5,2262,427,1016,402,6.065,315500
5,2840,403,1363,403,7.618,341400
5,3621,632,1546,567,5.753,322800
4,2428,401,959,386,6.2661,268500
19,2930,428,1481,430,6.323,480800
18,4173,625,1649,634,6.3568,294300
17,2232,372,1072,385,4.245,214500
16,3084,724,2557,690,2.8357,106300
15,1786,299,727,293,5.0527,231400
7,4458,731,1731,704,6.126,285600
25,1709,439,632,292,1.7868,45500
5,1131,276,520,232,4.0167,87500
5,3151,482,1335,428,5.5773,109000
8,2915,371,1271,354,7.9627,345400
16,2427,522,794,491,2.6929,119300
17,3759,1035,1722,847,2.6074,137500
28,1437,295,724,262,2.725,140200
30,4255,773,2129,730,4.5185,142500
14,4136,886,2026,788,3.2344,128200
29,873,226,649,198,2.7986,114400
25,1881,433,1337,417,2.5536,144000
10,1875,366,1055,363,4.3264,128900
28,707,154,561,129,2.5781,111600
5,3178,631,1467,581,5.2541,237100
5,4246,689,1933,722,6.9501,225700
11,2630,327,1256,352,8.2953,350500
18,3783,654,1843,623,5.7559,215800
16,2592,372,1279,383,6.9741,262000
18,4265,581,2025,544,6.4598,282700
16,3010,580,1649,538,4.0221,236200
17,2150,361,1194,335,5.4622,227000
16,2205,393,1333,402,3.475,279500
12,3258,421,1464,435,6.5413,332000
13,3320,426,1432,431,7.9283,348100
5,6678,1011,2877,982,7.5177,330000
9,3856,571,1646,576,6.8007,318300
4,1764,220,705,224,8.3275,384200
20,1767,280,801,284,6.5394,272000
17,5041,778,2396,801,6.0868,282900
4,2142,625,1176,483,3.4455,325000
3,7374,1444,3214,1279,4.538,278200
4,1223,275,505,244,4.6607,173000
23,3499,722,1480,634,3.86,300000
19,2595,621,1728,571,3.668,243800
13,2020,378,679,290,5.756,305600
8,2683,416,1154,399,5.8625,109400
18,2657,496,1426,483,3.5931,71900
16,2678,483,1473,487,3.858,70200
25,1719,331,1098,324,3.625,121800
33,4674,791,2769,784,4.1448,137300
10,1979,454,1117,389,3.7802,107300
33,1552,288,1326,303,3.7969,128400
7,732,145,431,132,2.9107,95300
25,2054,609,2271,564,2.3049,150000
24,2834,470,1815,471,4.7357,162500
13,5301,1025,2870,984,3.5954,163000
15,4905,711,2711,762,5.7021,193100
4,8301,1333,3941,1236,6.2141,252200
6,211,51,125,44,1.9659,500001
16,3388,492,1249,463,6.1863,355600
23,3038,473,1501,436,5.5584,241700
16,4428,745,1525,682,5.2325,286800
19,2957,492,1639,495,5.0686,225600
16,9653,2000,4732,1922,3.7361,197200
26,1021,230,301,208,2.625,80600
16,2092,489,877,392,3.0461,216900
11,8039,1717,3445,1571,4.1678,190900
9,1204,355,469,293,3.6196,119900
4,3283,911,1512,782,3.3125,138500
3,2443,637,1033,548,4.1379,183300
2,2112,305,703,261,6.9343,298500
12,2459,390,1054,391,7.1736,262100
2,5261,763,1460,599,6.8279,279000
4,7474,1037,2969,1007,8.7591,434700
4,2351,445,834,397,5.5677,245400
10,3458,638,1156,470,6.3579,336700
21,2208,534,1423,482,3.5915,305600
21,1857,399,881,380,3.8403,350000
20,1577,363,764,333,4.1563,320800
17,17715,2370,7665,2312,7.9068,349100
20,11250,1893,4952,1859,5.6785,239500
52,567,152,2688,126,1.875,212500
41,555,130,1492,123,2.2813,125000
36,2637,476,1385,483,4.1739,158700
29,1276,283,1216,316,2.5972,134300
26,2744,494,1411,465,4.2639,154200
31,1840,380,1187,357,3.8875,129200
24,1948,362,1286,364,3.6,139300
16,1458,295,912,331,3.625,160400
20,1950,310,1054,312,4.625,222100
17,4098,733,1859,713,2.9811,231800
11,3467,749,2163,676,3.4267,164400
10,10856,2278,6474,2199,3.851,137200
14,2945,356,1293,335,8.111,308900
16,2497,500,1357,456,4.5909,241800
22,2520,387,1338,391,5.8898,242800
26,3046,726,888,663,2.6848,74100
26,2280,550,669,502,2.3438,72300
8,3329,753,1312,629,3.5521,229800
25,3011,714,893,654,2.3387,74800
2,2530,562,1066,510,4.6336,187500
6,3673,881,1846,768,4.877,144300
4,3289,753,1285,651,4.045,226000
7,4907,577,1883,556,10.4415,453800
15,2460,368,962,320,7.3878,318300
17,2486,417,876,361,6.1007,340900
11,2198,252,883,281,13.1477,487000
5,1680,254,617,231,8.583,397700
17,2681,454,830,410,5.5507,345700
14,3894,672,1490,629,6.5206,368500
52,2867,496,978,513,3.1477,291200
32,3241,895,1592,810,2.4952,181800
36,1473,328,785,299,3.2566,151800
34,2742,491,1761,496,3.2481,128800
33,4100,740,2580,730,3.7321,134200
32,2209,654,1718,569,1.9643,113200
8,1841,409,1243,394,4.0614,107000
31,2220,526,1662,472,2.7321,104300
17,2902,476,1652,479,5.6029,161800
17,1781,262,860,256,6.5958,236800
15,4363,690,2410,666,5.4824,179700
14,5622,861,3108,821,5.7763,206700
16,13290,2062,6931,2023,5.228,187800
16,1230,242,380,246,2.2969,67500
15,1362,255,378,202,1.9,162500
21,2322,518,662,457,3.1679,110000
19,5777,1261,1711,1225,2.7634,86900
19,1144,268,365,279,2.8583,105800
26,2653,621,774,584,2.49,81100
26,2033,463,618,450,2.5685,80400
13,4866,812,1909,733,4.9821,244800
14,1672,295,704,293,5.1129,251300
17,3617,597,1176,571,5.133,324000
4,3623,734,1129,530,5.7281,500001
5,1889,359,616,246,3.8992,500001
35,2916,594,1870,432,3.625,55000
26,6459,894,2487,885,6.2089,261800
37,3457,544,1344,530,5.8891,226000
36,1543,297,1355,303,3.5313,117800
30,2345,496,1897,454,2.4375,112100
33,1350,265,1251,257,2.9063,115200
28,5173,1069,3502,954,3.8438,130800
34,4038,725,2716,759,4.1339,135000
33,1921,489,1430,467,2.3406,122600
33,1025,261,854,269,2.2596,119400
51,498,115,368,112,1.4063,98800
34,344,108,315,119,3.1786,117800
36,975,243,809,233,2.8929,118100
28,2758,771,2877,694,2.0734,113300
26,3827,814,3367,810,3.15,129700
42,1967,378,1459,348,3.0375,118100
36,2340,392,1213,388,4.125,213000
17,2612,582,832,564,2.6759,120600
16,590,130,178,121,4.8611,186800
3,6388,920,2129,819,7.8915,420600
5,4549,786,1238,632,6.1785,295900
31,5112,778,1530,648,10.3983,500001
17,2168,290,654,279,9.8321,500001
15,2357,484,1110,442,3.1755,81700
28,3494,566,1391,522,5.3637,214700
29,2742,488,2477,532,3.5072,121900
26,2723,604,1847,498,2.6779,136000
35,1613,298,911,293,3.4398,134300
52,1868,316,947,328,4.2415,140100
42,2504,553,1550,509,3.0294,135700
48,2438,599,1508,548,2.8983,129200
4,1391,506,727,369,1.4722,137500
30,1185,317,1466,302,2.625,94300
29,2452,700,3029,665,2.1354,110700
27,3623,809,3712,754,3.4609,123300
33,2318,464,1904,451,3.7454,116400
4,9755,1748,4662,1583,5.6501,254900
4,37937,5471,16122,5189,7.4947,366300
4,5416,820,1753,583,6.9544,314000
18,328,68,391,60,4.1167,87500
16,4134,740,2103,745,5.6877,231400
16,1889,590,686,537,3.4706,241700
17,2116,474,662,443,3.5625,180800
16,2753,576,857,546,3.7422,229800
29,1720,269,612,258,7.8239,500001
9,6564,1316,1720,904,4.89,454100
25,5411,998,2243,1019,4.3148,240700
21,8069,2174,4369,2036,3.2756,156800
36,3094,556,1672,545,4.2143,146900
33,2824,523,1797,493,3.6359,135100
33,1067,194,600,201,4.0368,139100
52,2550,586,1246,576,1.6006,146200
52,1548,348,1131,343,2.63,127300
52,1279,213,444,204,5.2269,161000
52,62,9,44,16,0.4999,112500
52,24,6,46,7,1.625,67500
52,1171,318,1126,276,1.9762,105800
44,477,135,502,117,2.0156,112500
46,1480,358,1511,348,1.9718,110600
37,378,92,503,103,2.1908,94600
35,1293,339,1494,312,1.6645,93300
27,437,108,469,97,1.7206,107500
22,2948,636,2600,602,3.125,113600
4,22128,3522,10450,3258,6.1287,289600
13,984,127,364,119,7.5839,426900
16,3491,502,1496,509,6.6207,270500
10,2464,347,1241,366,8.7603,362500
15,2849,537,878,520,3.2841,158300
9,2499,492,1111,542,5.5342,182300
17,2499,566,781,522,3.1779,186500
5,4944,1164,1727,948,4.9,255600
21,8711,1544,3173,1396,5.0907,378200
12,2014,372,1027,356,3.9261,101300
4,18,3,8,6,1.625,275000
15,2981,625,1694,540,2.9541,106700
8,16759,2274,7249,2156,7.4837,358700
22,4935,954,2874,938,3.9825,180500
28,4086,871,1973,853,2.621,202200
37,2263,502,1677,522,2.9388,139200
51,1538,394,1173,388,2.3156,109800
48,1157,247,677,218,2.8594,127200
47,508,108,384,86,1.9583,92600
33,1831,486,1625,472,1.9937,103600
36,3839,1004,4711,942,2.3859,116200
36,2242,448,2052,447,3.4464,113000
34,1914,364,1564,328,2.8347,115800
3,9662,1385,2497,856,6.7172,292400
40,1092,213,457,190,5.1165,184200
9,4838,759,2090,695,6.6536,307800
16,3973,595,1971,575,6.4265,263700
16,3182,429,1663,428,7.0592,288200
14,3666,442,1400,433,10.1316,500001
15,3764,510,1448,468,8.7124,410500
15,3086,457,1262,436,6.4415,300700
2,582,70,199,64,7.1193,500001
4,8974,1268,3754,1241,8.2653,374000
15,941,266,366,248,4.3636,148400
14,3011,388,1359,371,7.9739,368700
11,4508,618,1993,573,10.4498,386100
14,4321,582,2025,578,8.3634,355100
12,4025,574,2042,588,7.9125,344900
28,3085,499,1176,480,7.9794,426100
24,2105,346,712,332,10.6349,500001
18,3224,561,1310,580,8.4614,391900
38,3832,809,1332,636,5.0044,381200
28,1998,414,1124,389,3.75,180900
29,2976,662,2452,633,3.0638,113600
13,5415,827,2061,714,7.3681,353100
5,4380,715,1913,741,6.7274,266400
16,3973,483,1373,452,9.8074,417000
19,3532,402,1200,426,11.0124,500001
10,2815,431,1181,398,6.5743,278700
5,4050,584,1986,598,7.5847,375700
4,1646,321,859,300,5.5631,227800
13,1939,247,928,244,8.1111,379800
4,2446,622,1315,560,3.7147,137500
3,3636,749,1486,696,5.5464,207500
15,1392,267,681,263,5.4248,187200
15,500,113,261,116,5.0631,154000
14,1413,372,744,338,3.7988,184100
12,4329,1068,1913,978,4.5094,160200
33,247,80,167,70,3.7059,237500
28,2024,297,617,274,6.7861,499100
47,3090,652,1105,582,4.1699,373700
28,3404,497,1134,466,7.2217,500001
46,1033,223,462,224,3.2708,384700
32,3116,661,1105,543,5.1837,445600
29,3590,772,1070,603,4.4464,500001
6,10263,1864,6163,1781,3.8803,120000
18,7798,1161,3710,1227,5.8819,260500
23,7079,1381,3205,1327,3.0735,212300
32,2643,516,1862,478,3.7177,177200
18,3610,772,2899,765,3.9784,113500
33,1056,272,964,300,2.4464,128700
39,2933,590,1886,550,3.9224,131300
8,32054,5290,15507,5050,6.0191,253900
2,556,63,179,54,8.4411,500001
14,6239,901,2923,904,6.5437,268200
7,9729,1210,4160,1214,8.9088,415300
16,1800,238,871,234,6.6678,301900
16,5609,952,2624,934,5.3307,169600
16,4390,660,2146,633,6.1504,266000
16,3781,504,1665,499,7.2554,335600
12,6208,750,2443,739,9.1808,413700
23,1986,278,826,260,7.7752,380000
6,9792,1283,3744,1179,10.1714,481500
25,2260,261,719,254,11.4537,500001
4,974,232,428,203,4.6141,195400
16,2207,291,1081,308,7.3518,331200
16,1663,250,597,204,5.409,233900
16,4702,806,2529,814,5.1299,238900
16,3400,501,1575,488,6.0961,295500
19,2500,331,1027,327,6.115,315600
14,1750,336,852,300,4.6793,236800
11,1994,477,849,411,4.0187,235600
44,1833,331,515,268,6.6178,500001
4,2,2,6,2,2.375,137500
18,2986,597,1355,472,3.2765,165000
16,2426,426,1319,446,4.8125,224500
18,3814,721,1881,692,4.4722,215600
26,1664,344,1024,339,3.5192,190500
5,18690,2862,9427,2777,6.4266,315600
17,8562,1351,3822,1316,6.0829,252600
9,10484,1603,4005,1419,8.3931,365300
11,10535,1620,4409,1622,6.67,283200
23,3596,451,1292,458,8.5403,451300
21,4349,553,1680,519,6.9014,439000
25,2037,252,796,249,11.0546,487200
26,2955,377,1074,373,9.3845,500001
26,2893,345,983,326,13.466,500001
3,8240,1410,3318,1270,7.2074,291300
16,6339,862,3132,825,7.1069,313400
16,3114,463,1641,469,6.2162,283200
6,1593,371,832,379,4.4286,239500
16,6259,1098,3785,1114,6.3298,247100
16,1416,249,636,244,5.1741,227700
16,3067,396,1275,372,8.7385,340000
16,1532,240,679,248,5.7115,313900
15,1875,316,890,316,6.5783,244800
9,1633,295,928,297,5.7858,265900
16,1998,308,818,299,6.8722,326100
13,2636,416,1137,404,7.2118,311500
10,2106,319,1002,332,8.735,375300
36,2057,329,658,309,7.866,500001
39,5066,1292,1915,1117,3.821,452100
25,5039,821,2654,802,4.7969,211700
17,5153,1164,2949,1083,3.5603,174600
5,4536,1178,2485,909,4.1118,125900
25,4240,643,1885,637,6.2384,247600
23,3351,591,1535,522,5.0869,230600
16,5819,986,2306,914,4.6315,277500
22,3760,482,1485,461,7.8537,354900
16,5954,1281,3107,1209,4.2566,206100
23,3038,470,1568,438,5.6403,233000
17,2971,350,1180,346,11.1228,500001
13,2021,362,1081,341,4.3269,231400
18,3548,474,1506,449,6.925,290300
17,4138,805,2442,780,4.7804,242000
29,5436,707,2046,685,8.7496,349500
27,2655,345,1017,335,6.9014,366800
29,3058,488,1197,474,5.3903,286600
33,2890,453,1300,452,6.5616,290200
30,3569,551,1540,537,5.2998,247200
16,2617,506,1317,511,4.821,201400
16,2745,447,1429,411,6.8219,325500
15,2099,322,873,307,7.9887,328000
14,1800,362,874,373,4.2083,251000
13,1161,289,630,296,3.3438,333300
8,2032,349,862,340,6.9133,274100
5,623,146,396,136,3.631,225000
5,2638,521,1179,480,5.7759,240000
5,2487,388,1147,397,8.284,302500
4,3345,552,1525,539,6.7962,329100
16,2542,498,1022,494,4,223400
8,4447,713,1680,705,8.8693,450400
8,32,9,26,11,4.1944,270800
15,3236,451,1289,416,11.1121,493000
38,1757,464,821,426,4.1304,433300
41,2017,489,783,403,4.1591,500001
50,1152,341,519,225,3.053,500001
19,1124,290,598,261,1.8984,54300
23,7063,1176,3100,1112,4.8229,192600
21,3481,808,1866,746,3.6201,150400
19,1935,399,1126,389,3.8929,144600
13,18448,2474,7775,2397,7.7876,348900
12,9197,1642,4332,1554,4.9589,282100
13,3252,583,1546,557,5.8243,297900
19,2968,503,1430,459,5.3339,371700
19,2265,283,904,279,9.2327,461300
19,4491,680,2457,702,6.0591,233500
18,133,29,95,23,3.5625,235000
20,2819,319,1019,319,12.2092,500001
19,3154,390,1404,384,8.9257,431800
25,2765,475,1666,474,6.0531,230700
25,5950,1155,4528,1064,4.2564,204600
23,3114,610,2045,577,3.75,211900
31,4624,624,1852,635,7.2392,334600
32,2053,339,835,323,5.5654,281800
25,2365,471,1197,458,3.7031,227800
23,3498,636,1574,642,5.021,252200
24,2696,649,1908,626,3.3047,216900
23,3056,556,1508,555,4.7273,234200
19,5471,1345,2828,1247,3.5719,252800
19,4022,975,2334,954,3.0305,140600
5,1256,256,880,288,2.4233,450000
8,1964,413,913,406,5.1583,192200
4,1545,304,788,296,4.5469,500001
9,3279,530,1447,510,7.4581,296600
9,2435,396,1194,385,7.2025,275000
9,1567,299,675,294,5.2124,199600
8,2440,502,1113,483,4.6019,242500
8,2098,342,908,329,7.7589,342900
24,3930,661,1831,616,6.3767,269000
16,1414,191,635,230,10.0757,383900
4,1741,225,811,233,12.3411,500001
16,2404,349,868,329,11.0138,442100
17,4477,610,1798,612,8.1093,410400
24,6258,1003,1730,752,10.9601,500001
27,3770,573,1606,562,6.1321,309700
26,3118,528,1546,545,5.27,209400
21,4031,923,2558,834,3.1641,117300
24,2168,421,1050,397,4.6172,238300
21,3079,509,1431,480,4.0714,278900
18,1982,300,1027,324,7.0526,327500
15,5392,895,2531,827,6.2185,280300
21,2603,404,1350,390,6.057,235900
18,1810,305,1189,326,5.2227,213500
25,1788,203,676,217,10.1299,454300
22,3173,372,1181,355,8.3637,500001
30,2260,345,1182,341,6.0705,236700
19,2556,304,822,260,9.9055,456900
15,3207,647,1414,595,4.0484,165600
28,4485,667,2048,685,5.4562,274700
25,4977,645,2061,646,6.58,318500
32,2308,301,967,320,7.0565,324600
27,2578,314,976,340,7.1882,359200
33,2774,428,1229,407,6.2944,265600
27,3230,449,1193,448,6.5308,287800
30,2910,535,1270,489,4.6161,236500
24,893,209,342,197,2.8261,146500
27,1270,258,809,264,5.0162,223000
24,845,190,482,190,4.7039,225000
23,2542,772,1720,675,3.8703,137000
24,3477,462,1593,484,6.8634,276500
3,7105,1459,3068,1241,6.1395,358000
3,3068,494,1357,486,7.9187,333600
15,1010,274,649,261,2.5197,350000
24,4227,641,1605,589,6.4238,278400
15,2460,447,1049,398,6.4967,387500
18,2105,302,830,286,6.3822,362500
18,1974,260,808,278,9.8589,500001
20,2421,306,1023,298,8.0683,451500
26,8254,1153,3460,1131,6.5253,349900
29,2671,437,1484,445,4.9844,203000
18,11026,1978,5407,1923,4.075,231100
16,9446,1650,4911,1534,5.0111,212900
14,17527,2751,8380,2676,6.2734,267000
11,21533,3078,9671,2890,7.0329,368300
14,1956,282,671,269,6.5841,306400
23,2446,360,1196,359,6.5755,272800
25,1737,270,840,265,4.625,245700
18,2112,340,1048,315,6.9308,231700
5,6971,1449,3521,1423,5.2131,243900
23,2775,547,1226,510,3.6707,231400
26,3259,456,1354,459,5.7817,267600
23,1100,285,940,267,3.6953,150000
28,1972,315,970,326,5.4298,234200
24,3550,895,2828,834,2.8403,225600
31,2016,409,1095,405,3.8681,196000
30,4713,758,2271,730,5.8622,221000
25,2070,513,1078,460,2.9312,220100
26,4931,853,2249,818,4.275,285400
22,2956,642,1342,558,4.1151,203200
34,2660,601,1475,567,3.4152,210200
22,6433,1174,2703,1125,4.9957,296400
23,6114,1623,4088,1521,3.0382,183600
23,1818,522,958,485,2.6771,131500
20,5768,1597,4853,1465,3.5387,160400
4,3226,838,1666,800,4.1652,184500
17,2634,641,1454,560,3.7976,275000
4,1011,198,511,198,7.9217,296200
15,2355,438,747,450,6.5356,272800
9,638,266,426,234,3.7875,187500
8,2149,426,950,399,4.1103,250400
11,1751,316,765,296,5.0762,98000
5,6739,1251,4614,1266,4.002,115100
26,3773,694,2103,688,4.6937,198000
34,2026,345,1142,332,4.392,187600
25,3465,566,1722,536,4.8304,228900
17,7836,1624,4419,1526,3.8465,180700
26,3638,557,1993,593,6.1076,221200
24,1723,223,707,219,7.0352,299600
19,3544,542,1787,560,6.7837,264300
23,6157,1129,2817,1073,5.0629,232600
23,4388,864,2526,846,4.5217,219400
24,10281,1689,4926,1629,4.7946,251200
26,5574,1025,2607,988,4.0324,244900
37,2733,460,1378,476,5.3041,235700
34,2590,603,1658,608,2.378,199600
26,2577,434,1086,432,4.6125,229200
24,3817,787,1656,713,4.25,248000
26,3350,581,1314,550,3.5195,249100
14,4412,952,1656,874,4.3292,206500
26,2110,409,1146,407,4.3698,229600
22,378,78,196,81,3.6806,219400
14,1458,423,615,365,4.2798,218800
16,4367,1161,2164,1005,4.0214,139500
25,1818,577,1426,532,3.2104,112500
24,1752,407,910,427,3.3611,134600
22,6072,1802,4715,1666,3.1353,121400
20,2572,732,1534,669,2.4211,175000
5,665,171,384,171,4.5833,230400
5,1688,430,857,402,3.7857,231600
4,1649,456,1030,411,2.2262,225000
11,6840,1689,6083,1629,2.4132,198300
21,4281,582,1443,576,9.0519,500001
35,2899,429,1251,429,6.1049,297200
35,1582,248,654,221,4.9091,275000
31,1959,318,1021,303,4.3145,233000
27,1748,403,985,416,3.1133,180600
25,9255,1659,4944,1627,4.5708,223000
22,5179,944,2315,884,4.51,189900
16,4556,639,2066,651,6.4667,263900
23,1160,166,467,178,8.105,386200
32,761,101,295,95,11.1077,500001
26,2712,402,1389,377,5.6513,227900
11,3331,410,1460,416,8.0287,371800
25,1548,256,811,263,5.2037,242200
20,4026,648,1997,650,5.5918,260500
24,3326,503,1616,494,5.7457,240600
22,4020,655,1486,635,5.9639,262300
14,4753,681,2138,678,7.3658,288500
18,329,72,209,71,4.6806,187500
17,4678,1065,2427,1020,4.2276,254100
26,2095,280,793,261,6.6719,271700
26,1904,292,945,303,5.6784,232400
32,1766,322,876,330,4.0417,234500
26,4186,767,2447,777,4.9917,248100
40,1461,286,1322,264,4.3269,194100
34,1593,283,872,255,3.825,216700
52,1963,430,1197,415,3.8929,211000
46,1846,383,867,336,3.4234,200000
40,1251,336,729,343,2.4688,236400
23,3187,870,1977,852,3.3939,212100
23,5928,1204,3570,1150,4.0398,233100
16,2186,511,908,466,4.575,225000
27,2311,632,2936,609,2.5651,171400
26,2589,1003,5756,983,2.1992,170800
19,1248,357,1214,328,2.7059,159800
28,1499,574,3328,595,2.4539,115000
18,729,105,316,108,10.3893,500001
14,4340,741,1505,670,7.5674,500001
52,803,267,628,225,4.1932,14999
36,3097,667,1484,634,3.1905,235300
33,2344,363,1098,359,6.2089,283400
40,1304,280,607,256,2.588,209500
33,2383,428,1269,421,4.636,245500
29,630,145,378,148,3.4107,170800
29,1185,197,588,196,5.0832,196900
23,2535,490,1327,466,3.5977,180600
29,3855,585,2205,609,5.5496,218200
31,2524,349,1003,343,7.5196,380900
19,6300,937,3671,943,5.9716,262100
16,4632,761,3038,727,5.1762,264400
10,17820,2812,8686,2666,6.3875,310700
16,2889,423,1227,401,6.4514,270800
25,3205,409,1291,408,7.2478,299200
17,1452,188,630,194,6.9113,285200
20,3977,540,1886,541,6.5843,272200
19,1621,328,871,322,3.7361,201400
19,1591,279,891,237,5.6573,216000
12,1600,251,685,256,5.1784,254000
17,1131,236,622,244,4.9306,158500
19,1725,392,920,400,3.0087,159400
9,1682,291,1015,271,6.6603,230900
35,1683,347,1242,335,3.5172,190400
34,1793,480,1722,441,2.8235,153100
42,1024,191,483,187,4.105,194500
34,1883,408,1227,424,3.8929,187500
31,3523,922,2660,949,3.1792,146400
25,2635,660,1710,634,3.125,215000
21,2713,731,1952,722,2.6959,178800
39,4159,655,1669,651,4.6111,240300
34,3153,561,1679,532,4.7083,205300
6,1565,599,3157,629,2.9271,123200
5,187,49,207,51,1.8,154200
39,275,87,554,103,3.5972,158000
31,1761,515,1810,468,1.9309,173400
13,1632,598,3356,659,1.5054,137500
9,525,171,1257,165,3.375,165300
38,2415,642,3242,599,3.425,165600
32,691,151,926,148,4.125,175900
38,2284,511,2451,504,3.3125,159100
31,1115,268,1369,259,3.5694,150500
30,2651,572,3249,552,3.7202,182100
26,1702,456,2776,463,2.6385,180200
23,407,108,647,96,3.775,177400
37,1429,428,2089,399,3.413,150600
32,1461,340,1909,346,3.5511,159100
36,191,42,208,37,3.375,157500
21,1795,406,2246,400,3.152,152800
16,20,5,15,5,3.875,450000
4,3618,767,1326,714,5.4284,500001
17,3095,551,1175,534,5.3099,500001
23,3166,411,1092,345,7.9367,500001
